id,name,parent,child_order,description,gid
76,635010,untitled,\N,0,2015-05-27 22:43:43.961438+00,1,untitled,\N,\N,\N,\N,\N,\N,f,f
77,1312412,5ive,\N,0,2015-05-27 23:04:31.401345+00,\N,5ive,\N,\N,\N,\N,\N,\N,f,f
78,62479,Bryan Adams - Cuts Like A Knife,\N,0,2015-05-28 10:04:09.88794+00,\N,Bryan Adams - Cuts Like A Knife,\N,\N,\N,\N,\N,\N,f,f
79,346298,Riot on the Radio,\N,0,2015-05-28 14:03:58.843241+00,\N,Riot on the Radio,\N,\N,\N,\N,\N,\N,f,f
80,128111,Fever To Tell,\N,0,2015-05-28 17:02:28.750957+00,\N,Fever To Tell,\N,\N,\N,\N,\N,\N,f,f
81,1478130,Doors N' Boxes,\N,0,2015-05-28 17:02:54.044199+00,\N,Doors N' Boxes,\N,\N,\N,\N,\N,\N,f,f
82,1485446,Junior Songfestival 2009,\N,0,2015-05-28 18:01:57.181375+00,\N,Junior Songfestival 2009,\N,\N,\N,\N,\N,\N,f,f
83,585523,"Piano Concerto Nos.1 & 2 / Variations and Fugue on a Theme by Handel, Op. 24 / Waltzes Op. 39",\N,0,2015-05-29 13:01:40.729043+00,\N,"Piano Concerto Nos.1 & 2 / Variations and Fugue on a Theme by Handel, Op. 24 / Waltzes Op. 39",\N,\N,\N,\N,\N,\N,f,f
84,1381875,The Piano Sonatas: Recordings: 1951 -1956,en,0,2015-05-29 18:45:22.863636+00,1,"Piano Sonatas, The: Recordings: 1951 -1956",\N,\N,\N,\N,\N,\N,t,f
85,915858,Catherine Ribeiro + 2Bis,\N,0,2015-05-29 21:01:53.506693+00,\N,Catherine Ribeiro + 2Bis,\N,\N,\N,\N,\N,\N,f,f
86,144074,I Can't Escape From You (Love and Hate),\N,0,2015-05-30 01:01:36.326737+00,\N,I Can't Escape From You (Love and Hate),\N,\N,\N,\N,\N,\N,f,f
87,1358191,Niemals wie Ihr (Re-Release),\N,0,2015-05-30 12:03:39.18949+00,\N,Niemals wie Ihr (Re-Release),\N,\N,\N,\N,\N,\N,f,f
88,866723,Interstellar Low Ways,\N,0,2015-05-31 09:02:37.970258+00,\N,Interstellar Low Ways,\N,\N,\N,\N,\N,\N,f,f
89,1307895,Love Parade 2000,\N,0,2015-05-31 09:03:17.497687+00,\N,Love Parade 2000,\N,\N,\N,\N,\N,\N,f,f
90,1530677,Chalice Dub - Part One,\N,0,2015-05-31 10:13:17.316442+00,\N,Chalice Dub - Part One,\N,\N,\N,\N,\N,\N,f,f
91,1530677,Chalice Dub Part One,\N,0,2015-05-31 10:13:26.817878+00,\N,Chalice Dub Part One,\N,\N,\N,\N,\N,\N,f,f
92,1530677,Chalice Dub – Part One,\N,0,2015-05-31 10:13:35.429104+00,\N,Chalice Dub – Part One,\N,\N,\N,\N,\N,\N,f,f
93,1378051,Just as I Am (Platinum Edition),\N,0,2015-06-01 04:01:13.133732+00,\N,Just as I Am (Platinum Edition),\N,\N,\N,\N,\N,\N,f,f
94,449561,We Don't Care (Drum & Bass remix),\N,0,2015-06-01 10:01:45.806435+00,\N,We Don't Care (Drum & Bass remix),\N,\N,\N,\N,\N,\N,f,f
95,224305,Other Worlds Other Sounds,\N,0,2015-06-01 14:03:03.687088+00,\N,Other Worlds Other Sounds,\N,\N,\N,\N,\N,\N,f,f
96,1163456,Project Hardcore 2011,\N,0,2015-06-01 16:04:46.359209+00,\N,Project Hardcore 2011,\N,\N,\N,\N,\N,\N,f,f
97,1340707,The Best Unlimited,\N,0,2015-06-01 20:02:53.800044+00,\N,The Best Unlimited,\N,\N,\N,\N,\N,\N,f,f
98,1366960,Mehr (Kindskopf Edition),\N,0,2015-06-02 08:05:07.104961+00,\N,Mehr (Kindskopf Edition),\N,\N,\N,\N,\N,\N,f,f
99,1510504,Musique de film imaginé,\N,0,2015-06-02 11:00:41.62963+00,\N,Musique de film imaginé,\N,\N,\N,\N,\N,\N,f,f
