id,place,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
403,857,大阪MUSE HALL,\N,0,2013-10-30 22:00:31.307081+00,2,大阪MUSE HALL,\N,\N,\N,\N,\N,\N,f,f
85,832,Utsunomiya City Cultural Hall,en,0,2013-10-17 15:47:59.356572+00,1,Utsunomiya City Cultural Hall,\N,\N,\N,\N,\N,\N,t,f
65,822,Zepp Tokyo,ja,0,2013-10-17 15:41:07.718263+00,1,ゼップトウキョウ,\N,\N,\N,\N,\N,\N,t,f
160,892,Marquee Club,en,0,2013-10-24 22:00:42.689215+00,1,Marquee Club,\N,\N,\N,\N,\N,\N,f,f
159,892,The Marquee,en,0,2013-10-17 16:16:14.095637+00,1,"Marquee, The",\N,\N,\N,\N,\N,\N,t,f
214,984,NTK HALL,en,0,2013-10-17 21:07:17.076337+00,1,NTK HALL,\N,\N,\N,\N,\N,\N,t,f
215,984,日本特殊陶業市民会館,ja,0,2013-10-24 22:00:42.689215+00,1,にほんとくしゅとうぎょうしみんかいかん,\N,\N,\N,\N,\N,\N,f,f
213,984,名古屋市民会館,ja,0,2013-10-17 21:06:59.976328+00,1,なごやしみんかいかん,\N,\N,\N,\N,\N,\N,t,f
161,893,The Underworld,en,0,2013-10-17 16:16:41.347615+00,1,"Underworld, The",\N,\N,\N,\N,\N,\N,t,f
2369,11447,Arrowhead Pond of Anaheim,\N,0,2015-05-22 06:40:32.069307+00,1,Arrowhead Pond of Anaheim,1993,\N,\N,2006,\N,\N,f,t
86,832,Utsunomiya-shi Bunka Kaikan,\N,0,2013-10-17 15:48:04.030258+00,1,Utsunomiya-shi Bunka Kaikan,\N,\N,\N,\N,\N,\N,f,f
84,832,宇都宮市文化会館,ja,0,2013-10-17 15:47:52.925633+00,1,うつのみやしぶんかかいかん,\N,\N,\N,\N,\N,\N,t,f
79,830,Saitama Super Arena,en,0,2013-10-17 15:45:46.548731+00,1,Saitama Super Arena,\N,\N,\N,\N,\N,\N,t,f
45,774,Sound Supreme Studios,\N,0,2013-10-17 15:33:35.665729+00,\N,Sound Supreme Studios,\N,\N,\N,\N,\N,\N,f,f
78,830,さいたまスーパーアリーナ,ja,0,2013-10-17 15:45:38.591773+00,1,さいたまスーパーアリーナ,\N,\N,\N,\N,\N,\N,t,f
20,794,Colos-Saal,de,0,2013-10-17 15:26:50.482976+00,1,Colos-Saal,\N,\N,\N,\N,\N,\N,t,f
25,793,Helsinki Cathedral,en,0,2013-10-17 15:27:52.457788+00,1,Helsinki Cathedral,\N,\N,\N,\N,\N,\N,t,f
24,793,Storkyrkan,sv,0,2013-10-24 22:00:42.689215+00,1,Storkyrkan,\N,\N,\N,\N,\N,\N,f,f
1193,3663,IMA,\N,0,2014-01-17 14:25:24.670233+00,2,IMA,\N,\N,\N,\N,\N,\N,f,f
293,1014,Finlandia Hall,en,0,2013-10-25 02:00:19.443118+00,1,Finlandia Hall,\N,\N,\N,\N,\N,\N,f,f
444,1414,りゅーとぴあ,ja,0,2013-10-31 16:00:30.308101+00,1,りゅーとぴあ,\N,\N,\N,\N,\N,\N,t,f
1197,3697,Paradise Theater,\N,0,2014-01-26 07:00:17.651326+00,1,Paradise Theater,\N,\N,\N,\N,\N,\N,f,t
1188,3616,YCAM,\N,0,2014-01-19 02:00:40.066922+00,\N,YCAM,\N,\N,\N,\N,\N,\N,f,f
1202,3701,CDM studio,\N,0,2014-01-26 13:00:20.617157+00,1,CDM studio,\N,\N,\N,\N,\N,\N,f,f
