id,gid,name,type,address,area,coordinates,comment,edits_pending,last_updated,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended
1340,c417481f-27a6-43ce-afa8-99a925eb6046,Ruissalon kansallispuisto,3,"Ruissalo, Turku, Finland",9582,"(60.433467,22.16413)",,0,2013-11-08 19:05:50.305179+00,\N,\N,\N,\N,\N,\N,f
1329,d68b2940-fe9d-461a-8c51-5e9f23aca344,Tivoli,2,"Dr.‐Külz‐Straße 3, 09599 Freiberg",69068,"(50.919375,13.336578)",,0,2013-11-10 18:38:57.288763+00,\N,\N,\N,\N,\N,\N,f
1211,d61317a5-eb35-4d55-a391-f4caecfa0ccd,Kulturzentrum,2,"Wilhelm-Breidenbach-Weg 6, 51789 Lindlar",72233,"(51.015322,7.37248)",,0,2013-11-15 08:09:39.757792+00,\N,\N,\N,\N,\N,\N,f
11379,4d5aeeff-df25-400c-9bb2-8e655f188547,Audio Magic Recording Studios,1,,\N,\N,,0,2015-05-19 06:57:29.192149+00,\N,\N,\N,\N,\N,\N,f
1248,603d97a5-71bc-4814-991d-bc9264f254f2,Theater am Schiffbauerdamm,2,"Bertolt‐Brecht‐Platz 1, 10117 Berlin",326,"(52.522151,13.386108)",,0,2013-10-20 21:28:36.203009+00,\N,\N,\N,\N,\N,\N,f
863,f6e5fd67-65ef-4a4d-8341-4f3d4fa1418a,ソニー・ミュージックスタジオ,1,東京都港区赤坂9丁目6番35号,8404,"(35.667353,139.727868)",,0,2013-10-18 17:42:14.432353+00,\N,\N,\N,\N,\N,\N,f
1198,68f2f6b2-380d-4b57-af6e-2dc3e028c80d,Victoria Hall,2,"Rue du Général-Dufour 14, 1204 Genève",23036,"(46.2014,6.1411)",Geneva,0,2013-10-20 02:18:00.271287+00,1894,\N,\N,\N,\N,\N,f
859,d83cd11a-a89f-4723-a23a-dc4843aef25b,U★STONE,\N,滋賀県大津市粟津町 11-12,5555,"(34.978812,135.89987)",,0,2013-10-18 17:37:22.654161+00,2005,10,2,\N,\N,\N,f
8164,7b7df99e-0c28-475d-952c-9b38fecfe4dd,Red Line Tap,2,7006 N. Glenwood Ave.,5099,"(42.00931,-87.666239)",,0,2014-11-17 22:03:29.815533+00,\N,\N,\N,\N,\N,\N,f
18956,483a9d0f-a1f4-44c1-be2a-1d2779f28935,Otodi Studio,1,,67710,\N,,0,2016-05-25 01:37:35.327637+00,\N,\N,\N,\N,\N,\N,f
