id,instrument,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
315,492,대금,ko,0,2014-05-25 18:54:00.090278+00,1,대금,\N,\N,\N,\N,\N,\N,t,f
110,224,马头琴,zh_Hans,0,2014-05-26 02:24:32.130018+00,1,马头琴,\N,\N,\N,\N,\N,\N,t,f
382,550,小鑼,zh_Hant,0,2014-05-26 02:27:26.602921+00,1,小鑼,\N,\N,\N,\N,\N,\N,t,f
610,652,قرقبة,\N,0,2014-08-03 13:33:27.525662+00,\N,قرقبة,\N,\N,\N,\N,\N,\N,f,f
660,177,gitaar,nl,0,2014-08-08 19:41:35.676008+00,1,gitaar,\N,\N,\N,\N,\N,\N,t,f
627,664,アルパ,ja,0,2014-08-04 12:13:09.712047+00,\N,アルパ,\N,\N,\N,\N,\N,\N,f,f
637,620,renat thum,\N,0,2014-08-04 17:41:47.659872+00,2,renat thum,\N,\N,\N,\N,\N,\N,f,f
661,607,طار,ar,0,2014-08-20 11:35:06.156212+00,1,طار,\N,\N,\N,\N,\N,\N,t,f
770,577,Buk,de,0,2014-08-20 16:54:05.048724+00,1,Buk,\N,\N,\N,\N,\N,\N,t,f
639,614,renat ek,\N,0,2014-08-04 17:42:07.135426+00,2,renat ek,\N,\N,\N,\N,\N,\N,f,f
663,438,zwölfsaitige Gitarre,de,0,2014-08-20 16:37:17.792287+00,1,zwölfsaitige Gitarre,\N,\N,\N,\N,\N,\N,t,f
648,671,glong khaek,\N,0,2014-08-04 23:17:29.071511+00,2,glong khaek,\N,\N,\N,\N,\N,\N,f,f
675,30,Waldhorn,de,0,2014-08-20 16:39:11.53065+00,1,Waldhorn,\N,\N,\N,\N,\N,\N,t,f
690,139,Rhodes Piano,de,0,2014-08-20 16:41:41.143203+00,1,Rhodes Piano,\N,\N,\N,\N,\N,\N,t,f
1077,185,Tabla,de,0,2014-08-20 17:41:24.528463+00,1,Tabla,\N,\N,\N,\N,\N,\N,t,f
699,253,Warr Guitar,de,0,2014-08-20 16:43:07.836214+00,1,Warr Guitar,\N,\N,\N,\N,\N,\N,t,f
780,436,Chalumeau,de,0,2014-08-20 16:55:32.084016+00,1,Chalumeau,\N,\N,\N,\N,\N,\N,t,f
712,21,Altsaxophon,de,0,2014-08-20 16:45:08.157681+00,1,Altsaxophon,\N,\N,\N,\N,\N,\N,t,f
729,301,Baritongitarre,de,0,2014-08-20 16:47:58.080945+00,1,Baritongitarre,\N,\N,\N,\N,\N,\N,t,f
906,58,Harfe,de,0,2014-08-20 17:14:52.472229+00,1,Harfe,\N,\N,\N,\N,\N,\N,t,f
740,207,Bassgitarre,de,0,2014-08-20 16:49:35.574773+00,1,Bassgitarre,\N,\N,\N,\N,\N,\N,t,f
791,54,klassiche Gitarre,de,0,2014-08-20 16:57:12.118007+00,1,klassiche Gitarre,\N,\N,\N,\N,\N,\N,t,f
750,432,Bayan,de,0,2014-08-20 16:51:05.063888+00,1,Bayan,\N,\N,\N,\N,\N,\N,t,f
760,500,Körper-Perkussion,de,0,2014-08-20 16:52:36.392264+00,1,Körper-Perkussion,\N,\N,\N,\N,\N,\N,t,f
765,229,Streichpsalter,de,0,2014-08-20 16:53:22.970611+00,1,Streichpsalter,\N,\N,\N,\N,\N,\N,t,f
801,12,Kontrabassklarinette,de,0,2014-08-20 16:58:38.026974+00,1,Kontrabassklarinette,\N,\N,\N,\N,\N,\N,t,f
1037,630,Setar,de,0,2014-08-20 17:35:10.10838+00,1,Setar,\N,\N,\N,\N,\N,\N,t,f
805,510,Cornamuse,de,0,2014-08-20 16:59:13.737644+00,1,Cornamuse,\N,\N,\N,\N,\N,\N,t,f
924,288,Kanun,de,0,2014-08-20 17:17:45.947083+00,1,Kanun,\N,\N,\N,\N,\N,\N,t,f
809,164,Crotales / antike Zimbeln,de,0,2014-08-20 16:59:44.324543+00,1,Crotales / antike Zimbeln,\N,\N,\N,\N,\N,\N,t,f
820,342,Darbuka,de,0,2014-08-20 17:01:29.805604+00,1,Darbuka,\N,\N,\N,\N,\N,\N,t,f
833,598,Dombra,de,0,2014-08-20 17:03:39.871212+00,1,Dombra,\N,\N,\N,\N,\N,\N,t,f
926,143,Kazoo,de,0,2014-08-20 17:18:03.043378+00,1,Kazoo,\N,\N,\N,\N,\N,\N,t,f
839,101,Schlagzeug,de,0,2014-08-20 17:04:40.046917+00,1,Schlagzeug,\N,\N,\N,\N,\N,\N,t,f
