id,gid,name,comment,type,ordering_attribute,ordering_type,edits_pending,last_updated
223,a9d53de4-dfff-4140-a70a-6ce9578f6e21,Ministry of Sound: Sessions,Australian,1,788,1,0,2014-05-18 17:03:43.74345+00
2,1372f6a8-09ec-4773-ad9d-e2f3e4e64674,プッチベスト,,1,788,1,0,2014-05-27 00:13:36.796387+00
6,03621260-b4dd-419a-add5-a55090fb0a0e,World Music Library,1991-1998,2,788,1,0,2014-05-14 18:28:59.030601+00
7,6c093af2-be7d-4256-8a18-0018f2b17c40,歌ドキッ!,,1,788,1,0,2014-05-14 18:28:59.030601+00
8,9c95efb7-c871-4704-bc1e-3d5fd7cd9e69,童謡ポップス,,1,788,1,0,2014-05-14 18:28:59.030601+00
2583,5bce83a6-7b68-4bfb-8cca-c4624bda3f27,The Lost Reel Collection,Sun Ra,1,788,1,0,2014-12-18 20:35:08.608212+00
23,0688e70d-05bf-494d-9d7a-1002492efdfd,netBloc,,1,788,1,0,2014-05-14 18:28:59.030601+00
98,6fc8a10e-5e8d-4a4c-b22d-9c0a38dacb13,The Romantic Piano Concerto,hyperion,2,788,1,0,2016-08-01 15:26:51.734347+00
222,a7cb3ec8-f66c-4cec-b58e-1afcf0a6e69b,Double Forte,EMI Classics,2,788,1,0,2016-11-02 04:34:57.775012+00
32,78a94642-0691-4a5a-a6de-9c7972baaa42,Gothic Romance,,1,788,1,0,2014-05-14 18:28:59.030601+00
24,f06313ac-e7f5-4b86-ab4a-314025859732,MODEified,,1,788,1,0,2014-05-14 18:28:59.030601+00
10,cf568437-0857-40fe-85fa-2f0a2fac8117,メガベスト,,1,788,1,0,2014-05-14 18:28:59.030601+00
33,56f022f1-5166-4083-bd8c-c73500b1b3e6,Searching for the Now,,1,788,1,0,2014-05-14 18:28:59.030601+00
26,be930628-5b24-4bb3-85a6-6bbcf688e932,Café del Mar,,1,788,1,0,2014-05-14 18:28:59.030601+00
5,f829bae8-5d48-44e6-9f2d-e05055d262a8,Complete Sibelius,BIS,2,788,1,0,2014-05-14 18:28:59.030601+00
11,7bd56938-08ab-45d1-9566-2bf9c4f60605,Mercedes-Benz Mixed Tape,,1,788,1,0,2014-05-14 18:28:59.030601+00
25,d977f7fd-96c9-4e3e-83b5-eb484a9e6582,Bach-Werke-Verzeichnis,,5,788,1,0,2014-05-14 18:28:59.030601+00
44,50db4550-c147-4f2f-9689-710f10208f96,The Art of Sysyphus,,1,788,1,0,2014-05-14 18:28:59.030601+00
13,be3f0d16-b639-49af-9c86-e17fa0d5c841,Japanese Traditional Music,,1,788,1,0,2014-05-14 18:28:59.030601+00
34,effb868a-6644-4f07-adcc-32e94b0965ca,iD.Allstars Present: iD.EOLOGY - Because Best Things Are Free,,1,788,1,0,2014-05-14 18:28:59.030601+00
15,15ae6850-d8d2-4915-8f53-d6f7684f6107,The Best of 1980-1990,,1,788,1,0,2014-05-14 18:28:59.030601+00
16,1350fce9-08ab-40ba-a7bb-ed3cfb869499,Bravo Hits,,1,788,1,0,2014-05-14 18:28:59.030601+00
49,0de150c9-8d45-4927-b509-dcf5354de00a,The Royal Edition,released via Sony Classical,2,788,1,0,2015-12-22 17:10:24.640915+00
18,1b4a18e4-7760-49ce-94a2-9f832bf0928e,CDTV NO.1 HITS,,1,788,1,0,2014-05-14 18:28:59.030601+00
35,297371a3-a03d-4a27-844a-d929777fef65,Extreme Traumfänger,,1,788,1,0,2014-05-14 18:28:59.030601+00
30,6363aee4-eab3-4ead-89fb-fc2a03cbe06c,Blue Note Commemorative 75th Anniversary Series,,2,788,1,0,2014-05-14 18:28:59.030601+00
37,c9670ee1-3d46-4c82-829f-a64291fd413d,Intrada Excalibur Collection,,2,788,1,0,2014-05-14 18:28:59.030601+00
39,3e032ee0-e164-440b-b7ce-012bb04d2b5f,Spielmannstränen,,1,788,1,0,2014-05-14 18:28:59.030601+00
40,bbff97a6-2468-49ae-ad1b-deca36cda862,Music from Vietnam,,1,788,1,0,2014-05-14 18:28:59.030601+00
41,ac31329e-9307-4665-b911-7ba235edf875,Open Music Contest,,1,788,1,0,2014-05-14 18:28:59.030601+00
42,b3f1d9ec-b205-42d4-bd7a-0dfc2e00a5e0,Japan for Sale,,1,788,1,0,2014-05-14 18:28:59.030601+00
