id,area,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
16810,8755,Квасилов,ru,0,2013-11-01 16:28:58.821214+00,1,Квасилов,\N,\N,\N,\N,\N,\N,t,f
18580,1792,Republika Srpska,bs,0,2013-11-02 06:31:42.039858+00,1,Republika Srpska,\N,\N,\N,\N,\N,\N,t,f
66493,47,Columbia,\N,0,2015-06-02 21:32:00.911648+00,3,Columbia,\N,\N,\N,\N,\N,\N,f,f
20858,8958,濱州市,zh_Hant,0,2013-11-02 20:33:47.971984+00,1,濱州市,\N,\N,\N,\N,\N,\N,t,f
66377,88543,Nordzypern,de,0,2014-01-15 14:21:43.515501+00,1,Nordzypern,\N,\N,\N,\N,\N,\N,t,f
66494,102793,Shannon County,\N,0,2015-06-10 14:50:24.671047+00,\N,Shannon County,\N,\N,\N,\N,\N,\N,f,f
75,31,イギリス領インド洋地域,ja,0,2013-05-27 12:19:24.56808+00,\N,イギリス領インド洋地域,\N,\N,\N,\N,\N,\N,t,f
567,175,Romania,fi,0,2013-05-27 12:39:39.766341+00,\N,Romania,\N,\N,\N,\N,\N,\N,t,f
493,122,リヒテンシュタイン,ja,0,2013-05-27 12:36:04.096632+00,\N,リヒテンシュタイン,\N,\N,\N,\N,\N,\N,t,f
495,122,Liechtenstein,no,0,2013-05-27 12:36:08.633407+00,\N,Liechtenstein,\N,\N,\N,\N,\N,\N,t,f
665,52,Costa d'Avorio,it,0,2013-05-27 12:43:39.317301+00,\N,Costa d'Avorio,\N,\N,\N,\N,\N,\N,t,f
496,252,Isle of Man,de,0,2013-05-27 12:36:14.381962+00,\N,Isle of Man,\N,\N,\N,\N,\N,\N,t,f
593,34,ブルキナファソ,ja,0,2013-05-27 12:40:47.953978+00,\N,ブルキナファソ,\N,\N,\N,\N,\N,\N,t,f
510,63,Egipto,es,0,2013-05-27 12:36:52.128306+00,\N,Egipto,\N,\N,\N,\N,\N,\N,t,f
513,63,Égypte,fr,0,2013-05-27 12:36:59.087463+00,\N,Égypte,\N,\N,\N,\N,\N,\N,t,f
547,32,Brunei,it,0,2013-05-27 12:38:38.577973+00,\N,Brunei,\N,\N,\N,\N,\N,\N,t,f
607,157,Niue,et,0,2013-05-27 12:41:20.311302+00,\N,Niue,\N,\N,\N,\N,\N,\N,t,f
768,168,Philippinen,de,0,2013-05-27 12:47:39.104874+00,\N,Philippinen,\N,\N,\N,\N,\N,\N,t,f
621,193,Sudafrica,it,0,2013-05-27 12:41:53.565807+00,\N,Sudafrica,\N,\N,\N,\N,\N,\N,t,f
671,206,Tajikistan,en,0,2013-05-27 12:43:53.465346+00,\N,Tajikistan,\N,\N,\N,\N,\N,\N,t,f
653,83,Gibraltar,fr,0,2013-05-27 12:43:10.634206+00,\N,Gibraltar,\N,\N,\N,\N,\N,\N,t,f
657,83,Gibraltar,no,0,2013-05-27 12:43:19.860793+00,\N,Gibraltar,\N,\N,\N,\N,\N,\N,t,f
697,244,République démocratique allemande,fr,0,2013-05-27 12:44:54.18731+00,\N,République démocratique allemande,\N,\N,\N,\N,\N,\N,t,f
705,17,Μπαχρέιν,el,0,2013-05-27 12:45:13.259678+00,\N,Μπαχρέιν,\N,\N,\N,\N,\N,\N,t,f
788,67,Estland,nl,0,2013-05-27 12:48:25.064465+00,\N,Estland,\N,\N,\N,\N,\N,\N,t,f
713,17,Bahrein,nl,0,2013-05-27 12:45:31.621957+00,\N,Bahrein,\N,\N,\N,\N,\N,\N,t,f
726,123,Litauen,de,0,2013-05-27 12:46:02.367158+00,\N,Litauen,\N,\N,\N,\N,\N,\N,t,f
896,47,コロンビア,ja,0,2013-05-27 12:52:39.259656+00,\N,コロンビア,\N,\N,\N,\N,\N,\N,t,f
762,135,Mauritania,fi,0,2013-05-27 12:47:24.747099+00,\N,Mauritania,\N,\N,\N,\N,\N,\N,t,f
795,19,Barbados,fi,0,2013-05-27 12:48:41.324633+00,\N,Barbados,\N,\N,\N,\N,\N,\N,t,f
