id,series,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
22,151,Sibelius-Akatemian kansanmusiikin aineryhmän CD-julkaisusarja,fi,0,2014-05-15 05:01:02.339475+00,\N,Sibelius-Akatemian kansanmusiikin aineryhmän CD-julkaisusarja,\N,\N,\N,\N,\N,\N,f,f
31,53,HWV,\N,0,2014-05-15 11:32:23.950713+00,2,HWV,\N,\N,\N,\N,\N,\N,f,f
23,1,The World Roots Music Library,en,0,2014-05-15 08:07:35.209692+00,1,"World Roots Music Library, The",\N,\N,\N,\N,\N,\N,t,f
24,1,ザ・ワールド・ルーツ・ミュージック・ライブラリー,ja,0,2014-05-15 08:07:56.286524+00,1,ザ・ワールド・ルーツ・ミュージック・ライブラリー,\N,\N,\N,\N,\N,\N,t,f
25,171,CD Ethnic Sound Series,en,0,2014-05-15 11:16:08.20282+00,1,CD Ethnic Sound Series,\N,\N,\N,\N,\N,\N,t,f
32,4,JS,\N,0,2014-05-15 12:28:33.495028+00,2,JS,\N,\N,\N,\N,\N,\N,f,f
26,172,涼宮ハルヒの憂鬱 新キャラクターソング,ja,0,2014-05-15 11:16:30.362017+00,1,すずみやハルヒのゆううつしんキャラクターソング,\N,\N,\N,\N,\N,\N,t,f
58,319,The Works of Eduard Tubin. Thematic-Bibliographical Catalogue,en,0,2014-05-17 17:55:31.460034+00,1,The Works of Eduard Tubin. Thematic-Bibliographical Catalogue,\N,\N,\N,\N,\N,\N,f,f
33,177,Napalm Records: With Us or Against Us,\N,0,2014-05-15 13:20:09.340933+00,\N,Napalm Records: With Us or Against Us,\N,\N,\N,\N,\N,\N,f,f
36,180,NEXUS MASTERPIECE 1500,en,0,2014-05-22 16:00:32.783747+00,1,NEXUS MASTERPIECE 1500,\N,\N,\N,\N,\N,\N,f,f
39,182,seishun utanenkan,\N,0,2014-05-22 16:00:38.135113+00,2,seishun utanenkan,\N,\N,\N,\N,\N,\N,f,f
51,260,OCR,\N,0,2014-05-24 01:00:33.086457+00,2,OCR,\N,\N,\N,\N,\N,\N,f,f
42,197,Die ultimative Chartshow,\N,0,2014-05-15 17:47:34.24312+00,\N,"Ultimative Chartshow, Die",\N,\N,\N,\N,\N,\N,f,f
37,95,TrV,\N,0,2014-05-15 15:34:26.545936+00,2,TrV,\N,\N,\N,\N,\N,\N,f,f
53,260,ocremix,\N,0,2014-05-24 01:00:33.131864+00,2,ocremix,\N,\N,\N,\N,\N,\N,f,f
43,211,Extreme Club Hits,\N,0,2014-05-15 21:14:35.004187+00,\N,Extreme Club Hits,\N,\N,\N,\N,\N,\N,f,f
44,226,WWV,\N,0,2014-05-16 01:43:58.367152+00,2,WWV,\N,\N,\N,\N,\N,\N,f,f
54,273,Cold Hands Seduction,\N,0,2014-05-24 12:00:23.645718+00,\N,Cold Hands Seduction,\N,\N,\N,\N,\N,\N,f,f
45,241,Debussy's Lesure catalogue,en,0,2014-05-16 12:47:05.166817+00,1,Lesure Debussy's catalogue,\N,\N,\N,\N,\N,\N,f,f
46,245,SUPER EUROBEAT,ja,0,2014-05-16 17:04:04.282302+00,1,スーパー・ユーロビート,\N,\N,\N,\N,\N,\N,t,f
55,273,Sonic Seducer,\N,0,2014-05-24 12:00:23.666467+00,\N,Sonic Seducer,\N,\N,\N,\N,\N,\N,f,f
50,255,Zillo CD,\N,0,2014-06-01 12:21:27.928714+00,1,Zillo CD,2004,\N,\N,\N,\N,\N,f,f
56,277,CRE,\N,0,2014-05-24 12:00:42.327985+00,2,CRE,\N,\N,\N,\N,\N,\N,f,f
57,277,Chaosradio Express,\N,0,2014-05-24 12:00:43.111936+00,2,Chaosradio Express,\N,\N,\N,\N,\N,\N,f,f
61,324,Tanz- & FolkFest Rudolstadt,\N,0,2014-05-24 22:00:10.63126+00,1,Tanz- & FolkFest Rudolstadt,\N,\N,\N,2003,\N,\N,f,t
