id,gid,name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,label_code,type,area,comment,edits_pending,last_updated,ended
10583,460dc428-bd1d-4a31-8786-524681903b29,Giant45,\N,\N,\N,\N,\N,\N,\N,4,221,,0,\N,f
44,005de50e-36b5-4301-91b2-b5b2273fdb86,Marsalis Music,2002,\N,\N,\N,\N,\N,11661,4,\N,,0,\N,f
98957,169aab5f-bc41-4f75-898c-d8cca589a136,Oliver Steller guitars & poetry,\N,\N,\N,\N,\N,\N,\N,4,69067,,0,2015-01-19 21:00:14.022093+00,f
28347,7643fb0c-f6f8-45a7-b74e-8d028b1dca59,Stroke Records,\N,\N,\N,\N,\N,\N,\N,4,202,Swedish synthpop/EBM label,0,2016-03-10 11:40:55.658763+00,f
1392,3dd1253e-9ebe-46cb-99f8-6c921de25f27,Erebus Odora,\N,\N,\N,\N,\N,\N,\N,4,202,,0,\N,f
98958,0a0c4727-95f9-43f8-b6c3-e20f785293e9,N'awlins,\N,\N,\N,\N,\N,\N,\N,3,12021,,0,2015-01-12 21:17:28.878818+00,f
2507,b74cc023-578b-4330-9126-81e0e86019ee,Henry Street Music,\N,\N,\N,\N,\N,\N,\N,4,222,,0,\N,f
2158,8f7ddc22-2707-4e1f-9dd6-79861f0b5678,Plumphouse Records,\N,\N,\N,\N,\N,\N,\N,4,202,,0,\N,f
24690,d92d6a89-ac23-4926-99e8-bd4afad087bc,Soul Trax,\N,\N,\N,\N,\N,\N,\N,4,222,,0,\N,f
99470,012e6e91-6daa-47c4-8bd7-9022605b9b82,lol project,\N,\N,\N,\N,\N,\N,\N,4,107,,0,2015-01-25 06:34:34.597658+00,f
16351,45426360-6917-431c-a21c-4cd6e8a1bd1d,Anirniq,\N,\N,\N,\N,\N,\N,\N,\N,222,,0,\N,f
60,2e64e3fc-76bb-4a09-b63a-07e2ecd1805b,Detour Records,\N,\N,\N,\N,\N,\N,\N,\N,221,,0,\N,f
35453,0500d7ed-687b-4fa6-979d-ef434ca41385,Pitch Black,\N,\N,\N,\N,\N,\N,\N,4,222,US progressive house/trance,0,2009-04-10 02:32:44.352625+00,f
4292,a484031a-1688-4fbf-b930-e46b455b2631,Lovelost,\N,\N,\N,\N,\N,\N,\N,\N,\N,,0,\N,f
61,127a442b-94f7-460e-9ebd-07d458c4ca18,Bad Addiction,\N,\N,\N,\N,\N,\N,\N,\N,107,,0,\N,f
1391,b24bb5d1-c234-4dc9-aaaf-fecd0d7f576d,Cyclic Law,2002,1,\N,\N,\N,\N,\N,4,38,,0,2012-07-12 11:19:59.263283+00,f
78224,a86ef1f1-c02c-4b37-aa79-7686e1f1d522,Beltane Records,\N,\N,\N,\N,\N,\N,\N,\N,\N,,0,2013-04-10 16:22:39.799154+00,f
144,c3e767ea-470e-45b4-b764-700dc5686f97,SiDeOuT Records,\N,\N,\N,\N,\N,\N,\N,\N,107,,0,2013-10-02 21:00:35.197265+00,f
35681,6782748d-623c-4997-870f-4c749f1db8c3,Sidekick Records,\N,\N,\N,\N,\N,\N,\N,\N,160,Norwegian label,0,2012-09-05 07:00:14.795384+00,f
703,b8075a85-51d3-42ea-8fb8-80e9c1fa6759,Dufflebag Recordings,\N,\N,\N,\N,\N,\N,\N,4,222,,0,\N,f
37502,f549ea91-d74e-47a7-8795-503a9e5038da,Abused Recordingz,\N,\N,\N,\N,\N,\N,\N,\N,\N,,0,2009-06-21 22:49:02.828498+00,f
66798,c0bcd493-2e66-4de3-a585-a047df6a8274,Churchill Records,\N,\N,\N,\N,\N,\N,\N,\N,\N,,0,2012-04-21 18:47:21.035082+00,f
30013,e291b4d8-3424-4231-97dd-e97bd24aa2fa,Hero Music,\N,\N,\N,\N,\N,\N,\N,\N,221,,0,\N,f
58,17aaef4e-8b82-4d5c-a7be-974562ae3da7,CCC Records,1993,\N,\N,\N,\N,\N,\N,4,222,,0,\N,f
2384,ea856fb7-b900-4816-bdd0-7474016fd604,Lampse,\N,\N,\N,\N,\N,\N,\N,4,55,,0,\N,f
1571,28aee006-6bb1-464f-b749-d10e2875e49e,Silent Uproar Records,\N,\N,\N,\N,\N,\N,\N,\N,222,,0,\N,f
2535,5fc9c4d5-7b0e-45eb-b861-c281b6834b55,Metropol Records,\N,\N,\N,\N,\N,\N,\N,\N,194,,0,\N,f
52254,a0a44c22-7f07-4423-96d9-4cfd7e747794,Underworld Music,\N,\N,\N,\N,\N,\N,\N,\N,194,,0,2010-11-09 01:44:58.911766+00,f
571,f164a1f7-0981-497d-b747-637e1717c8a9,I Ate Her Records,\N,\N,\N,\N,\N,\N,\N,4,222,,0,\N,f
7707,1ab81534-38c3-4929-9964-402d6faf1658,Subtronic Records,\N,\N,\N,\N,\N,\N,6026,\N,81,,0,\N,f
7708,1aed7b39-6a5f-4b3d-bdeb-260cc03f10fc,Cri Du Chat,\N,\N,\N,\N,\N,\N,\N,\N,30,,0,\N,f
