id,recording,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
73,4283427,"Parsifal: Dritter Aufzug. ""Ja, Wehe! Wehe! Weh' über mich!"" (Amfortas, Die Ritter)",\N,0,2015-05-18 21:17:53.912511+00,\N,"Parsifal: Dritter Aufzug. ""Ja, Wehe! Wehe! Weh' über mich!"" (Amfortas, Die Ritter)",\N,\N,\N,\N,\N,\N,f,f
74,4283428,"Parsifal: Dritter Aufzug. ""Nur eine Waffe taugt"" (Parsifal)",\N,0,2015-05-18 21:17:56.480349+00,\N,"Parsifal: Dritter Aufzug. ""Nur eine Waffe taugt"" (Parsifal)",\N,\N,\N,\N,\N,\N,f,f
75,4283429,"Parsifal: Dritter Aufzug. ""Höchsten Heils Wunder!"" (Knaben, Jünglinge, Ritter)",\N,0,2015-05-18 21:17:58.844551+00,\N,"Parsifal: Dritter Aufzug. ""Höchsten Heils Wunder!"" (Knaben, Jünglinge, Ritter)",\N,\N,\N,\N,\N,\N,f,f
76,3794264,Confusion in My Soul,\N,0,2015-05-18 21:18:08.252724+00,\N,Confusion in My Soul,\N,\N,\N,\N,\N,\N,f,f
77,17760330,In Dir ist Freude (Joyful),\N,0,2015-05-18 22:04:13.266474+00,\N,In Dir ist Freude (Joyful),\N,\N,\N,\N,\N,\N,f,f
78,17760329,Was Gott tut das ist wohlgetan,\N,0,2015-05-18 22:04:13.266474+00,\N,Was Gott tut das ist wohlgetan,\N,\N,\N,\N,\N,\N,f,f
79,900074,I Hope You Dance (album version),\N,0,2015-05-18 22:04:45.923511+00,\N,I Hope You Dance (album version),\N,\N,\N,\N,\N,\N,f,f
80,900074,I Hope You Dance (Album Version),\N,0,2015-05-18 22:04:45.923511+00,\N,I Hope You Dance (Album Version),\N,\N,\N,\N,\N,\N,f,f
81,2272237,I Hope You Dance,\N,0,2015-05-18 23:01:12.110564+00,\N,I Hope You Dance,\N,\N,\N,\N,\N,\N,f,f
82,7542242,I May Hate Myself In The Morning,\N,0,2015-05-18 23:01:17.379192+00,\N,I May Hate Myself In The Morning,\N,\N,\N,\N,\N,\N,f,f
83,316609,I'll Think of Reasons Later,\N,0,2015-05-18 23:02:07.729549+00,\N,I'll Think of Reasons Later,\N,\N,\N,\N,\N,\N,f,f
84,2234360,Let It Snow/Winter Wonderland,\N,0,2015-05-18 23:02:08.855984+00,\N,Let It Snow/Winter Wonderland,\N,\N,\N,\N,\N,\N,f,f
85,17760323,Wer nur den Lieben Gott lässt walten,\N,0,2015-05-18 23:02:30.213303+00,\N,Wer nur den Lieben Gott lässt walten,\N,\N,\N,\N,\N,\N,f,f
74173,7655086,CUD,\N,0,2016-07-05 09:00:28.368515+00,\N,CUD,\N,\N,\N,\N,\N,\N,f,f
87,11097247,"4 Impromptus for Piano, D 935/Op. 142 No. 1 in F minor: Allegro moderato",\N,0,2015-05-18 23:02:40.139292+00,\N,"4 Impromptus for Piano, D 935/Op. 142 No. 1 in F minor: Allegro moderato",\N,\N,\N,\N,\N,\N,f,f
88,11097248,"4 Impromptus for Piano, D 935/Op. 142 No. 2 in A-flat major: Allegretto",\N,0,2015-05-18 23:02:41.850676+00,\N,"4 Impromptus for Piano, D 935/Op. 142 No. 2 in A-flat major: Allegretto",\N,\N,\N,\N,\N,\N,f,f
89,11097249,"4 Impromptus for Piano, D 935/Op. 142 No. 3 in B-flat major: Andante. 6 Variations on a Theme from ""Rosamunde""",\N,0,2015-05-18 23:02:46.847927+00,\N,"4 Impromptus for Piano, D 935/Op. 142 No. 3 in B-flat major: Andante. 6 Variations on a Theme from ""Rosamunde""",\N,\N,\N,\N,\N,\N,f,f
90,11097250,"4 Impromptus for Piano, D 935/Op. 142 No. 4 in F minor: Allegro scherzando",\N,0,2015-05-18 23:02:48.478229+00,\N,"4 Impromptus for Piano, D 935/Op. 142 No. 4 in F minor: Allegro scherzando",\N,\N,\N,\N,\N,\N,f,f
91,16378794,"Piano Sonata in C minor, D 958: I. Allegro",\N,0,2015-05-18 23:03:01.973963+00,\N,"Piano Sonata in C minor, D 958: I. Allegro",\N,\N,\N,\N,\N,\N,f,f
92,16378795,"Piano Sonata in C minor, D 958: II. Adagio",\N,0,2015-05-18 23:03:04.170391+00,\N,"Piano Sonata in C minor, D 958: II. Adagio",\N,\N,\N,\N,\N,\N,f,f
93,16378796,"Piano Sonata in C minor, D 958: III. Menuetto. Trio",\N,0,2015-05-18 23:03:06.578312+00,\N,"Piano Sonata in C minor, D 958: III. Menuetto. Trio",\N,\N,\N,\N,\N,\N,f,f
94,16378797,"Piano Sonata in C minor, D 958: IV. Allegro",\N,0,2015-05-18 23:03:11.880188+00,\N,"Piano Sonata in C minor, D 958: IV. Allegro",\N,\N,\N,\N,\N,\N,f,f
95,2782641,Adoration To The Aum,\N,0,2015-05-18 23:04:37.917994+00,\N,Adoration To The Aum,\N,\N,\N,\N,\N,\N,f,f
96,3648083,Cycles Of Life,\N,0,2015-05-18 23:04:37.917994+00,\N,Cycles Of Life,\N,\N,\N,\N,\N,\N,f,f
97,6592372,Ulysse Voyage No. 2,\N,0,2015-05-18 23:04:37.917994+00,\N,Ulysse Voyage No. 2,\N,\N,\N,\N,\N,\N,f,f
98,10692918,"Piano Concerto No. 5 in E-flat major, Op. 73: I. Allegro",\N,0,2015-05-19 00:01:08.543628+00,\N,"Piano Concerto No. 5 in E-flat major, Op. 73: I. Allegro",\N,\N,\N,\N,\N,\N,f,f
101,187742,"Sonata for Piano No. 14 in C-sharp minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",\N,0,2015-05-19 00:01:35.4647+00,\N,"Sonata for Piano No. 14 in C-sharp minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",\N,\N,\N,\N,\N,\N,f,f
